Season,TeamName,Off_1,RankOff_1,Off_2,RankOff_2,Off_3,RankOff_3,Def_1,RankDef_1,Def_2,RankDef_2,Def_3,RankDef_3
2007,Missouri,17.2251,297,51.2027,174,31.5722,91,22.7273,68,48.3302,257,28.9425,156
2007,"Missouri St.",20.723,148,45.9857,284,33.2913,61,20.6304,148,48.1375,264,31.2321,77
2007,Monmouth,17.5955,287,53.1476,127,29.257,141,17.1358,293,50.2716,195,32.5926,51
2007,Montana,17.6112,284,48.8056,229,33.5831,57,21.1792,117,52.0755,134,26.7453,233
2007,"Montana St.",18.6122,248,47.3373,261,34.0506,46,25.3171,15,49.0732,233,25.6098,255
2007,"Morehead St.",17.214,298,54.2469,92,28.5391,158,21.6304,104,44.4565,324,33.913,30
2007,"Morgan St.",19.2125,218,59.5825,15,21.2049,315,24.2313,27,56.0808,34,19.6879,335
2007,"Mount St. Mary's",17.6063,285,59.8417,11,22.5519,302,22.9353,62,48.3247,258,28.74,162
2007,"Murray St.",19.5039,201,53.4386,121,27.0575,197,25.6696,13,47.5446,279,26.7857,228
2007,Navy,19.4021,211,37.5147,336,43.0832,2,26.1351,10,46.6224,300,27.2425,209
2007,Nebraska,20.7147,149,42.7758,322,36.5096,27,18.992,222,45.5172,314,35.4907,15
2007,Nevada,18.4138,253,52.8465,135,28.7397,152,18.4423,250,57.1173,18,24.4405,293
2007,"New Hampshire",18.2516,256,42.7643,323,38.9841,13,19.4444,201,56.1966,30,24.359,295
2007,"New Mexico",17.0763,305,46.3131,281,36.6106,25,18.158,261,51.3313,164,30.5107,103
2007,"New Mexico St.",24.1379,23,53.0564,131,22.8056,294,21.7938,98,50.7963,179,27.4099,202
2007,"New Orleans",19.4166,210,50.5014,195,30.082,125,20.7873,138,52.2778,127,26.935,220
2007,Niagara,22.6827,58,46.3451,280,30.9721,108,16.7497,303,57.0333,20,26.2169,245
2007,"Nicholls St.",18.1818,259,44.1006,311,37.7176,18,17.9975,267,45.1204,317,36.8821,7
2007,NJIT,21.0018,128,52.3838,149,26.6144,206,23.2535,50,45.8232,308,30.9233,88
2007,"Norfolk St.",19.5431,198,58.6802,19,21.7766,310,20,175,51.0067,174,28.9933,153
2007,"North Carolina",20.5341,156,59.6685,13,19.7974,327,16.4877,309,54.2945,69,29.2178,143
2007,"North Carolina A&T",24.1891,20,44.393,308,31.418,98,18.1487,262,44.5052,323,37.3461,5
2007,"North Carolina St.",21.3178,112,53.7984,109,24.8837,253,15.4235,323,54.3901,66,30.1865,109
2007,"North Dakota St.",19.3423,213,59.7547,12,20.903,319,21.0459,122,54.4643,63,24.4898,290
2007,"North Florida",20.6371,153,56.5097,46,22.8532,292,20.3694,159,46.0619,305,33.5687,34
2007,"North Texas",20.2132,170,53.3049,124,26.4819,209,23.156,54,46.9379,295,29.9061,121
2007,Northeastern,18.0905,264,45.7286,290,36.1809,28,18.2502,259,58.0433,12,23.7065,303
